,unique_add,Lon,Lat,X,Y
0,225 ANG MO KIO AVE 1,103.838150007464,1.36739612776859,28537.680043661,38825.2326317504
1,310C ANG MO KIO AVE 1,103.844851256166,1.36461194568101,29283.4501098171,38517.3744873889
2,475 ANG MO KIO AVE 10,103.85651592319,1.36266297827625,30581.5912348917,38301.8769463114
3,577 ANG MO KIO AVE 10,103.855854368773,1.37178732806791,30507.9585530469,39310.8004647959
4,121 ANG MO KIO AVE 3,103.843515981311,1.36970563478325,29134.847476338,39080.6080294997
5,586 ANG MO KIO AVE 3,103.853455898206,1.37030352965928,30241.039400328,39146.7271989435
6,301 ANG MO KIO AVE 3,103.845903587276,1.36742112526427,29400.5604499057,38827.9998518955
7,329 ANG MO KIO AVE 3,103.846874419073,1.36659908629034,29508.602895556,38737.1035531238
8,424 ANG MO KIO AVE 3,103.850808805402,1.36860660305158,29946.4514361909,38959.0873717722
9,128 ANG MO KIO AVE 3,103.843546990613,1.37083202800001,29138.2979054097,39205.1588756125
10,604 ANG MO KIO AVE 5,103.835976650638,1.37986658053966,28295.8099781042,40204.1514989082
11,602 ANG MO KIO AVE 5,103.835368226602,1.38070883044887,28228.0999537045,40297.2831488103
12,646 ANG MO KIO AVE 6,103.843763599411,1.37939517687868,29162.399695484,40152.028457012
13,415 ANG MO KIO AVE 10,103.853655233672,1.36445335577543,30263.228495976,38499.8449056894
14,214 ANG MO KIO AVE 3,103.841127940925,1.3673922200256,28869.0883138282,38824.801403787
15,608 ANG MO KIO AVE 5,103.836760311526,1.37858209980487,28383.0217854837,40062.1202565692
16,455A ANG MO KIO ST 44,103.857520553516,1.36817376241157,30693.3886357984,38911.2325393315
17,455C ANG MO KIO ST 44,103.857943144204,1.36856484754808,30740.4174549636,38954.4772249032
18,305 ANG MO KIO AVE 1,103.846013895433,1.36608459098943,29412.837204637,38680.2127589695
19,545 ANG MO KIO AVE 10,103.856294541429,1.37317921904936,30556.9429261032,39464.7091666237
20,437 ANG MO KIO AVE 10,103.853247443819,1.36720027552413,30217.8438034188,38803.5849395283
21,430 ANG MO KIO AVE 3,103.85276134968,1.36899287777802,30163.7457453171,39001.801338518
22,648 ANG MO KIO AVE 5,103.843719728887,1.37823859353841,29157.5180145344,40024.139324706
23,455B ANG MO KIO ST 44,103.858495667837,1.36833017912554,30801.906954689,38928.5294207707
24,588D ANG MO KIO ST 52,103.8538833087,1.37175400663025,30288.6036298573,39307.1139757186
25,588C ANG MO KIO ST 52,103.853670978083,1.37183157010083,30264.9737479165,39315.6903483681
26,519 BEDOK NTH AVE 1,103.928059854349,1.33087614142097,38543.7293353658,34787.2409757078
27,401 BEDOK NTH AVE 3,103.933604621756,1.33098173461878,39160.8050500453,34798.941337226
28,204 BEDOK NTH ST 1,103.929995919076,1.32635909520616,38759.2131650466,34287.7768086586
29,542 BEDOK NTH ST 3,103.922843972485,1.33066590908483,37963.2556945533,34763.9728567079
30,503 BEDOK NTH ST 3,103.932465913287,1.33148387479968,39034.0761500914,34854.4603863582
31,527 BEDOK NTH ST 3,103.928158574193,1.33391149180203,38554.7029323271,35122.8753525652
32,121 BEDOK RESERVOIR RD,103.909992224709,1.33130517787872,36532.9851953331,34834.6118230876
33,702 BEDOK RESERVOIR RD,103.918924437798,1.33723650407652,37527.026188367,35490.5009299871
34,50 CHAI CHEE ST,103.922415807329,1.32930431416537,37915.6107100435,34613.4127624556
35,95 BEDOK NTH AVE 4,103.94205674836,1.33386999449984,40101.4268050483,35118.3507430181
36,185 BEDOK NTH RD,103.940827550178,1.32623725322603,39964.6664293949,34274.3538356517
37,421 BEDOK NTH RD,103.928973650256,1.32825912318808,38645.4367222926,34497.8680338245
38,124 BEDOK RESERVOIR RD,103.910160875435,1.33262542332889,36551.7497410355,34980.5985158067
39,142 BEDOK RESERVOIR RD,103.913269358016,1.33563649761465,36897.6809832724,35313.5590189826
40,610 BEDOK RESERVOIR RD,103.912214924772,1.33084879115082,36780.3505344065,34784.1546704806
41,113 BEDOK RESERVOIR RD,103.910782526741,1.3299667100249,36620.9423518125,34686.6135201715
42,627 BEDOK RESERVOIR RD,103.915599319144,1.33396186689746,37156.98752621,35128.3952944875
43,772 BEDOK RESERVOIR VIEW,103.937895451472,1.3364625679398,39638.3050428331,35405.0046513882
44,774 BEDOK RESERVOIR VIEW,103.93670727972,1.3365822191075,39506.0733326357,35418.229490174
45,5 BEDOK STH AVE 2,103.934399264462,1.32219157915726,39249.2803944061,33826.9731199779
46,166 BEDOK STH AVE 3,103.945196685812,1.32004079860245,40450.9387497595,33589.201914506
47,70 BEDOK STH RD,103.94281863033,1.31996943548307,40186.2844594587,33581.2991558332
48,807C CHAI CHEE RD,103.92324860169,1.3279979407231,38008.2975416584,34468.9638649169
49,11 CHAI CHEE RD,103.924883893296,1.32691137466792,38190.2934795134,34348.8234877829
50,414 BEDOK NTH AVE 2,103.929931844469,1.33004344242587,38752.066379535,34695.1733362358
51,505 BEDOK NTH AVE 3,103.933338253415,1.33182838179324,39131.1571665108,34892.5581829082
52,99 BEDOK NTH AVE 4,103.939470307742,1.33393217749941,39813.5822450025,35125.2140688617
53,181 BEDOK NTH RD,103.941272008827,1.32668601317692,40014.1280982867,34323.977650132
54,91 BEDOK NTH ST 4,103.940369649715,1.33254881363421,39913.6764089325,34972.2528457288
55,20 BEDOK STH RD,103.93186323479,1.31814242416478,38967.0628341408,33379.2263433076
56,659 JLN TENAGA,103.906386015918,1.33433246206686,36131.6412353888,35169.3414899129
57,645 JLN TENAGA,103.906537912581,1.33167117872807,36148.5545004029,34875.0706737079
58,114 BEDOK RESERVOIR RD,103.909838947885,1.33056065989658,36515.9296102608,34752.2862368561
59,637 BEDOK RESERVOIR RD,103.903932625793,1.33106690592689,35858.6147905244,34808.2447771132
60,145 BEDOK RESERVOIR RD,103.912135405976,1.33429019245209,36771.48873467,35164.6872728597
61,403 SIN MING AVE,103.833604034312,1.3628703224303,28031.7678275062,38324.7915957961
