help,success,result_resource_id,result_fields_type,result_fields_id,result_records_town,result_records_flat_type,result_records_flat_model,result_records_floor_area_sqm,result_records_street_name,result_records_resale_price,result_records_month,result_records_remaining_lease,result_records_lease_commence_date,result_records_storey_range,result_records__id,result_records_block,result__links_start,result__links_next,result_limit,result_total
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,int4,_id,ANG MO KIO,3 ROOM,Improved,60.0,ANG MO KIO AVE 4,255000.0,2015-01-01T00:00:00.000+08:00,70,1986,07 TO 09,1,174,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,month,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 10,275000.0,2015-01-01T00:00:00.000+08:00,65,1981,01 TO 03,2,541,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,town,ANG MO KIO,3 ROOM,New Generation,69.0,ANG MO KIO AVE 4,285000.0,2015-01-01T00:00:00.000+08:00,64,1980,01 TO 03,3,163,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,flat_type,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 10,290000.0,2015-01-01T00:00:00.000+08:00,63,1979,01 TO 03,4,446,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,block,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 10,290000.0,2015-01-01T00:00:00.000+08:00,64,1980,07 TO 09,5,557,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,street_name,ANG MO KIO,3 ROOM,New Generation,67.0,ANG MO KIO AVE 5,290000.0,2015-01-01T00:00:00.000+08:00,64,1980,07 TO 09,6,603,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,storey_range,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 8,290000.0,2015-01-01T00:00:00.000+08:00,64,1980,01 TO 03,7,709,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,numeric,floor_area_sqm,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 1,293000.0,2015-01-01T00:00:00.000+08:00,65,1981,01 TO 03,8,333,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,text,flat_model,ANG MO KIO,3 ROOM,New Generation,67.0,ANG MO KIO AVE 4,300000.0,2015-01-01T00:00:00.000+08:00,62,1978,01 TO 03,9,109,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,numeric,lease_commence_date,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 3,307500.0,2015-01-01T00:00:00.000+08:00,69,1985,13 TO 15,10,564,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,numeric,remaining_lease,ANG MO KIO,3 ROOM,New Generation,67.0,ANG MO KIO AVE 1,308000.0,2015-01-01T00:00:00.000+08:00,60,1976,07 TO 09,11,218,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
https://data.gov.sg/api/3/action/help_show?name=datastore_search,true,1b702208-44bf-4829-b620-4615ee19b57c,numeric,resale_price,ANG MO KIO,3 ROOM,New Generation,68.0,ANG MO KIO AVE 10,312000.0,2015-01-01T00:00:00.000+08:00,64,1980,10 TO 12,12,556,/api/action/datastore_search?limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,/api/action/datastore_search?offset=15000&limit=15000&resource_id=1b702208-44bf-4829-b620-4615ee19b57c,15000,37153
